Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Аккумуляторная дрель-шуруповерт ИНТЕРСКОЛ ДА-12ЭР промо (2 А.ч.) [434.2.2.20];146435;3840.0;12.0;30.0;10;20;;2.0;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 В ударная (2х2.0 Ач) [574.2.2.70];171120;13490.0;18.0;60.0;13;36;1.7;2.0;Сверление/сверлениесударом;бесщеточный;профессиональный;450;2000;450;2000;1.5
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 1,5 [687.1.2.70];202209;6990.0;12.0;36.0;10;26;1.1;1.5;Сверление/заворачивание;бесщеточный;профессиональный;420;1500;420;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА -10/18В [709.2.2.70];198064;8099.0;18.0;42.0;11;32;1.2;2.0;Сверление/заворачивание;бесщеточный;профессиональный;450;1500;450;1500;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 В ударная (1х4.0 Ач) [574.4.1.70];171020;13490.0;18.0;60.0;13;38;1.7;4.0;Сверление/сверлениесударом;бесщеточный;профессиональный;450;2000;450;2000;1.5
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18 ВК ударная (2х2.0 Ач) [573.2.2.70];171119;9440.0;18.0;45.0;;36;1.6;2.0;Сверление/сверлениесударом;бесщеточный;профессиональный;400;1700;400;1700;1.5
Дрель-шуруповерт аккумуляторная BOSCH GSR 18 V-50 без АКБ и ЗУ [06019H5006];152389;7886.0;18.0;50.0;13;35;1.0;;Сверление;бесщеточный;;460;1800;460;1800;1.5
Дрель-шуруповерт аккумуляторная BOSCH GSR 185-LI [06019K3005] 1х4,0 Ач;247627;15028.0;18.0;;10;35;;;;бесщеточный;;500;1900;;;
Аккумуляторный шуруповерт METABO BS 14.4 2х1,5 Ач, кейс [602206550];140500;10999.0;14.4;40.0;10;20;1.2;1.5;Сверление;щеточный;;400;1500;400;1500;
Аккумуляторная дрель-шуруповерт METABO BS 14.4 2х2,0 Ач, патрон 10 мм [602206530];98928;11776.0;14.4;40.0;10;20;1.4;2.0;Сверление;щеточный;;450;1600;450;1600;1.0
Дрель-шуруповерт аккумуляторная MAKITA DF 333 DWAE [DF333DWAE];140585;13190.0;12.0;30.0;10;21;1.1;2.0;Сверление;щеточный;профессиональный;450;1700;450;1700;1.5
Аккумуляторная дрель-шуруповерт DeWALT DCD996P2 ударная [DCD996P2-QW];101521;51529.0;18.0;95.0;15;55;2.13;5.0;Сверление/сверлениесударом;бесщеточный;профессиональный;500;1500;500;1500;1.5
Дрель-шуруповерт аккумуляторная DeWALT DCD 800 E1T [DCD800E1T-QW];205272;37214.0;18.0;90.0;13;55;1.28;1.7;;бесщеточный;профессиональный;650;2000;650;2000;1.5
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-13/18ВК Комби + 3 насадки [575.2.2.78];223131;13490.0;18.0;45.0;13;36;1.6;2.0;Сверление/заворачивание;бесщеточный;профессиональный;400;1700;;;
Аккумуляторный шуруповерт MAKITA DDF451RFE;86544;31120.0;18.0;80.0;13;65;2.1;3.0;Сверление;щеточный;профессиональный;300;600;300;600;1.0
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-13/18ВК Комби [575.2.2.77];223130;11790.0;18.0;45.0;13;36;1.6;2.0;Сверление/заворачивание;бесщеточный;профессиональный;400;1700;;;
Дрель-шуруповерт аккумуляторная ЗУБР ДШЛ-125-21;193588;3710.0;12.0;25.0;;;1.1;2.0;Сверление/заворачивание;;;350;1300;350;1300;0.8
Шуруповерт ИНТЕРСКОЛ ДА-14,4ЭР [535.0.2.01];105323;7640.0;14.4;32.0;10;22;1.05;1.5;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-12ЭР-02 (2 А.ч.) [534.0.2.02];173024;6270.0;12.0;30.0;10;20;1.0;2.0;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DeWALT DCD 805 NT без АКБ и ЗУ [DCD805NT-XJ];212083;27392.0;18.0;90.0;13;55;1.34;;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;650;2000;650;2000;1.5
Дрель-шуруповерт аккумуляторная GREENWORKS GD24DD60K2 1х2 Ач (3704107UA) [3704107UA];188761;11990.0;24.0;60.0;13;;1.4;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;450;1700;450;1700;1.5
Аккумуляторная дрель-шуруповерт DAEWOO DAA 1210LI;147109;2990.0;12.0;28.0;8;22;1.3;1.5;Сверление;щеточный;бытовой;550;;550;;0.8
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-14-2Л [75/14/3];160927;4690.0;14.4;45.0;10;25;1.25;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторный шуруповерт DAEWOO DAA 1220Li;147110;5490.0;12.0;30.0;10;26;2.0;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Аккумуляторная дрель-шуруповерт ИНТЕРСКОЛ ДА-12ЭР-01 ( 1 АКБ ) [534.0.1.01];105320;4770.0;12.0;28.0;10;20;0.96;1.3;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторная дрель-шуруповерт DAEWOO DAA 3600Li Plus;147108;2990.0;3.6;4.5;;;0.7;1.5;Заворачиваниешурупов;щеточный;бытовой;210;;210;;
Дрель-шуруповерт аккумуляторная GREENWORKS GD24DD90, бесщеточная без АКБ и ЗУ [3707507];235587;8990.0;24.0;90.0;;;1.54;;3;бесщеточный;бытовой;;;550;2100;
Дрель-шуруповерт аккумуляторная DeWALT DCD 805 E1T [DCD805E1T-QW];212082;38509.0;18.0;90.0;13;55;1.34;1.7;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;650;2000;650;2000;1.5
Аккумуляторная дрель-шуруповерт DAEWOO DAA 4800 Plus;147107;1990.0;4.8;3.0;;;0.5;0.8;Заворачиваниешурупов;щеточный;бытовой;180;;180;;
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li set 3 со съемным патроном [063-4177];213486;4564.0;20.0;42.0;10;28;2.25;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Аккумуляторный шуруповерт DAEWOO DAA 1620Li;147111;7390.0;16.0;35.0;10;28;2.2;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Аккумуляторный шуруповерт DAEWOO DAA 2120Li;147112;8290.0;21.0;38.0;12;32;2.4;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная GREENWORKS GD24DD35 без АКБ и ЗУ (3704007) [3704007];180841;5990.0;24.0;35.0;13;;1.03;;Сверление;бесщеточный;бытовой;380;1450;380;1450;1.5
Дрель-шуруповерт аккумуляторная ЗУБР ОТР-4 Н20;156563;3240.0;4.0;3.0;;;0.06;0.26;Заворачиваниешурупов;щеточный;бытовой;160;;160;;
Дрель-шуруповерт аккумуляторная GREENWORKS GD24DD35K2 1х2 Ач [3704007UA];188760;10990.0;24.0;35.0;13;;1.03;2.0;Сверление;бесщеточный;бытовой;380;1450;380;1450;1.5
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-13/18В 50 [776.2.2.70];260840;10790.0;18.0;50.0;13;26;0.8;2.0;;бесщеточный;профессиональный;470;1600;;;
Дрель-шуруповерт аккумуляторная ZITREK Green 12-Li-ion [063-4041];217123;1106.0;12.0;26.0;8;16;1.11;1.5;Сверление;щеточный;бытовой;300;1300;300;1300;1.0
Аккумуляторная дрель-шуруповерт MAKITA HP332DWME ударная, бесщеточная;111564;20399.0;10.8;35.0;10;21;1.1;4.0;Сверление/сверлениесударом;бесщеточный;профессиональный;450;1500;450;1500;1.3
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-13/18В 50 комби [776.2.2.79];260841;13990.0;18.0;50.0;13;26;0.8;2.0;;бесщеточный;профессиональный;470;1600;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДАУ-13/18В 80 ударная (без акб и зу) [786.0.0.70];260842;7990.0;18.0;80.0;13;65;1.325;;;бесщеточный;профессиональный;500;1800;;;
Дрель-шуруповерт аккумуляторная DeWALT DCD 800 P2T [DCD800P2T-QW];212080;46007.0;18.0;90.0;13;55;1.28;5.0;Сверление/заворачивание;;профессиональный;650;2000;650;2000;1.5
Дрель угловая аккумуляторная MAKITA DDA450ZK 13мм, 18в,li-ion,2 скорости;205792;25299.0;18.0;70.0;13;65;3.5;;;бесщеточный;;;;;;
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-10/12В 2,0 кейс [687.2.2.70];194392;7290.0;12.0;36.0;10;26;1.16;2.0;Сверление/заворачивание;бесщеточный;профессиональный;420;1500;420;1500;0.8
Аккумуляторный шуруповерт DeWALT DCD 771 D2 [DCD771D2-KS];121055;16377.0;18.0;42.0;13;30;1.3;2.0;Сверление;щеточный;профессиональный;450;1500;450;1500;1.5
Дрель-шуруповерт аккумуляторная METABO PowerMaxx BS BL 2x2.0 Ач бесщеточная [601721500];197601;11899.0;12.0;38.0;10;32;0.9;;Сверление;бесщеточный;;400;1500;;;1.0
Аккумуляторный шуруповерт BOSCH GSR 120-LI [06019G8020] 2х2,0 Ач;108129;7979.0;12.0;30.0;10;20;0.98;2.0;Сверление;щеточный;;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная MAKITA DF 488 DWAE [DF488DWAE];196631;15490.0;18.0;42.0;13;36;1.433;2.0;Сверление/заворачивание;щеточный;профессиональный;400;1400;400;1400;1.3
Дрель-шуруповерт аккумуляторная DeWALT DCD 800 E2T [DCD800E2T-QW];226242;41198.0;18.0;90.0;55;13;;1.7;Сверление/заворачивание;бесщеточный;;650;2000;650;2000;1.5
Дрель-шуруповерт аккумуляторная MAKITA DTD172Z ударный, без АКБ и ЗУ;235203;15490.0;18.0;180.0;;;1.0;;Сверление/сверлениесударом;бесщеточный;;;;;;
Дрель-шуруповерт аккумуляторная DeWALT DCF 887 N ударный, бесщеточный, без АКБ и ЗУ [DCF887N-XJ];111874;19863.0;18.0;205.0;;;0.94;;Заворачиваниешурупов;бесщеточный;профессиональный;3250;;3250;;
Дрель-шуруповерт аккумуляторная DeWALT DCD 800 NT без АКБ и ЗУ [DCD800NT-XJ];212081;27031.0;18.0;90.0;13;55;1.28;;Сверление/заворачивание;бесщеточный;профессиональный;650;2000;650;2000;1.5
Дрель-шуруповерт аккумуляторная HiKOKI DS 12 DA [DS12DARFZ];170802;8096.0;12.0;38.0;10;28;1.1;2.5;Сверление;щеточный;профессиональный;350;1400;350;1400;1.0
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-14л-2ка [72/14/20];158769;3412.0;14.4;30.0;10;25;1.25;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DeWALT DCF 840 N ударный, бесщеточный, без АКБ и ЗУ [DCF840N-XJ];195813;12990.0;18.0;192.0;;;0.88;;;бесщеточный;профессиональный;3200;;3200;;
Аккумуляторный шуруповерт ВИХРЬ ДА-14,4Л-2К [72/14/8];104294;3331.0;14.4;40.0;10;25;1.25;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DeWALT DCD 776 M1T ударная [DCD776M1T-QW];229121;17700.0;18.0;42.0;13;30;1.72;4.0;Сверление/заворачивание/сверлениесударом;;профессиональный;450;1500;450;1500;1.5
Аккумуляторный шуруповерт MAKITA DDF 485 Z без АКБ и ЗУ [DDF485Z];134903;8990.0;18.0;50.0;13;36;1.7;;Сверление;бесщеточный;профессиональный;500;1900;500;1900;1.0
Аккумуляторная дрель-шуруповерт MAKITA DDF458RFE;86517;28899.0;18.0;91.0;13;76;2.3;3.0;Сверление/заворачивание;щеточный;профессиональный;400;2000;400;2000;1.3
Аккумуляторный шуруповерт METABO BS 18 LTХ Impuls 3x4.0 Ач [602191960];97360;47735.0;18.0;110.0;13;65;2.0;4.0;Сверление;щеточный;;500;1700;500;1700;1.5
Дрель-шуруповерт аккумуляторная DeWALT DCD 708 D2T бесщеточная [DCD708D2T-QW];175699;34493.0;;65.0;13;30;1.1;2.0;Сверление;бесщеточный;профессиональный;450;1650;450;1650;1.0
Аккумуляторная дрель-шуруповерт MAKITA DTD 152 Z ударный без АКБ и ЗУ [DTD152Z];99116;6801.0;18.0;165.0;;;1.5;;Сверление/заворачивание/сверлениесударом;щеточный;профессиональный;2900;;2900;;
Дрель-шуруповерт аккумуляторная DeWALT DCD 701 N бесщеточная, без АКБ и ЗУ [DCD701N-XJ];168340;9492.0;12.0;57.5;10;20;1.15;;Сверление;бесщеточный;профессиональный;425;1500;425;1500;1.0
Аккумуляторный шуруповерт MAKITA DHP 485 SYE ударная, бесщеточная [DHP485SYE];131118;25990.0;18.0;50.0;13;36;1.7;1.5;Сверление/сверлениесударом;бесщеточный;профессиональный;500;1900;500;1900;1.5
