Название;Код товара;Цена;Напряжение аккумулятора;Max крутящий момент;Max диаметр сверления (металл);Max диаметр сверления (дерево);Вес;Емкость аккумулятора;Режимы работы;Тип двигателя;Класс товара;Число оборотов на холостом ходу (первая скорость) (max);Число оборотов на холостом ходу (вторая скорость) (max);Число оборотов на холостом ходу (первая скорость) (min);Число оборотов на холостом ходу (вторая скорость) (min);Размер зажимаемой оснастки (min)
Аккумуляторный шуруповерт METABO BS 14.4 2х2,0 Ач, патрон 13 мм [602206540];98927;13875.0;14.4;40.0;10;20;1.2;2.0;Сверление;щеточный;;450;1500;450;1500;1.5
Аккумуляторная дрель-шуруповерт ВИХРЬ ДА-12-1 [72/14/11];104287;1832.0;12.0;16.0;8;18;1.7;2.0;Сверление;щеточный;бытовой;600;;600;;0.8
Аккумуляторный шуруповерт PATRIOT BR 210Li бесщеточная [180301550];123227;11892.0;21.0;59.0;10;20;1.1;2.0;Сверление;бесщеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторный шуруповерт MAKITA HP 333 DWAE ударная [HP333DWAE];135068;14999.0;12.0;30.0;10;21;1.1;2.0;Сверление/сверлениесударом;щеточный;профессиональный;450;1700;450;1700;1.5
Аккумуляторная дрель-шуруповерт MAKITA DF 033 DWAE [DF033DWAE];134930;11056.0;10.8;30.0;10;21;1.1;2.0;Заворачиваниешурупов;щеточный;профессиональный;450;1700;450;1700;
Аккумуляторный шуруповерт ВИХРЬ ДА-24Л-2КУ ударная [72/14/19];135854;8590.0;24.0;55.0;12;30;1.35;2.0;Сверление/сверлениесударом;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 203 UES [180201203];145468;7190.0;20.0;30.0;10;20;2.4;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-20Л-2К [72/14/21];158770;4990.0;20.0;50.0;12;30;1.3;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ИНТЕРСКОЛ ДА-12ЭР-02 комби [534.0.2.10];173025;6440.0;12.0;30.0;10;20;0.96;1.5;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;1.5
Дрель-шуруповерт аккумуляторная ПУЛЬСАР ДА 18-2 [792-704];172060;5915.0;18.0;40.0;10;26;2.4;1.5;Сверление;щеточный;бытовой;350;1300;350;1300;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li SET3 + оснастка 13 шт (063-4173) [063-4173];176537;3346.0;12.0;28.0;10;20;1.8;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 PINK SET2 + оснастка 13 шт (063-4171) [063-4171];176541;2175.0;12.0;32.0;10;25;1.02;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3612;181941;6650.0;12.0;26.0;10;20;0.98;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная MAKITA HP002GZ без АКБ и ЗУ;197249;18990.0;40.0;64.0;13;38;1.6;4.0;Сверление/заворачивание/сверлениесударом;бесщеточный;профессиональный;2200;;600;;1.5
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1838R;206789;13990.0;18.0;55.0;12;30;2.5;2.4;2;щеточный;полупрофессиональный;450;1600;450;1600;13.0
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1230R;206794;9990.0;12.0;30.0;10;25;1.8;2.0;2;бесщеточный;полупрофессиональный;420;1500;420;1500;10.0
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-16Л2 [50034];210747;4900.0;14.4;30.0;10;20;1.14;1.5;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 18/2-2L [кн18-2-2л];211425;6080.0;18.0;20.0;14;20;1.3;2.0;;щеточный;;400;1450;400;1450;
Дрель-шуруповерт аккумуляторная KOLNER KCD 20L [кн20л];211429;4510.0;20.0;21.0;14;20;1.3;2.0;;щеточный;;400;1450;400;1450;
Дрель-шуруповерт аккумуляторная ЗУБР ДШЛ-125-22;215184;6590.0;12.0;30.0;10;21;1.0;2.0;;;;;;;;
Дрель-шуруповерт аккумуляторная ЗУБР ДШУ-185 ударная, без АКБ и ЗУ;215187;3730.0;18.0;40.0;12;28;1.2;;;;;;;;;
Дрель-шуруповерт аккумуляторная ZITREK Crusher 14-Li ударная [063-4054];217129;2100.0;12.0;30.0;10;25;1.2;1.4;Сверление;щеточный;бытовой;400;1400;400;1400;1.0
Дрель-шуруповерт аккумуляторная DEKO GCD12DU ударная [063-4039];217133;2325.0;12.0;32.0;10;25;1.06;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 189 UES [180301549];213578;5190.0;21.0;29.0;10;20;2.0;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная HOTO QWLDZ001 бесщеточная;230065;6990.0;12.0;30.0;10;16;0.8;2.0;;;;;;;;0.8
Дрель-шуруповерт аккумуляторная INGCO CDLI1222;229876;4790.0;12.0;25.0;10;20;2.0;1.5;;щеточный;;350;1350;;;0.8
Аккумуляторный шуруповерт MAKITA DF347DWLE;107016;13609.0;14.4;30.0;10;25;1.4;1.5;Сверление;щеточный;профессиональный;400;1400;400;1400;0.8
Аккумуляторная дрель-шуруповерт PATRIOT BR 111ES [180201411];144039;5390.0;12.0;18.0;10;;1.2;1.3;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ВИХРЬ ДА-18Л-2КУ/Б (бесщеточный двигатель) [72/14/23];158772;9590.0;18.0;45.0;12;30;1.3;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 + набор инструментов 104 шт. (063-4133) [063-4133];169022;4575.0;12.0;32.0;10;25;2.86;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li + набор инструмента 63 шт (063-4094) [063-4094];169026;3250.0;12.0;28.0;10;20;2.25;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ПУЛЬСАР ДА 12-2 [792-674];172057;2310.0;12.0;25.0;10;22;1.3;1.3;Сверление;щеточный;бытовой;350;1300;350;1300;0.8
Дрель-шуруповерт аккумуляторная ПУЛЬСАР ДА 12-2П [792-681];172058;4099.0;12.0;25.0;10;22;1.5;1.5;Сверление;щеточный;бытовой;350;1300;350;1300;0.8
Дрель-шуруповерт аккумуляторная STURM CD3224L;168709;9790.0;24.0;35.0;10;20;1.8;2.0;Сверление;щеточный;бытовой;450;1650;450;1650;0.8
Отвертка аккумуляторная HYUNDAI A 3600Li;177826;2390.0;3.6;4.0;;;0.7;1.3;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная STURM CD3512BL бесщеточная;204457;8590.0;12.0;32.0;10;25;2.03;2.0;2;бесщеточный;полупрофессиональный;400;1600;400;1600;10.0
Дрель-шуруповерт аккумуляторная STURM CD3514BL бесщеточная;204458;9790.0;14.0;38.0;12;30;2.3;2.0;2;бесщеточный;полупрофессиональный;450;1800;450;1800;10.0
Дрель-шуруповерт аккумуляторная MAKITA DF002GZ без АКБ и ЗУ;205794;15990.0;40.0;65.0;13;38;2.5;4.0;Сверление/заворачивание;бесщеточный;профессиональный;600;2000;600;2000;1.5
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-20-2ЛК [75/14/11];206650;8290.0;20.0;55.0;12;30;1.3;2.0;;щеточный;;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная СТАВР ДА-20УБ без АКБ и ЗУ [ст20убда];211547;6010.0;20.0;50.0;16;34;1.3;;Сверление/заворачивание/сверлениесударом;бесщеточный;;500;1800;500;1800;2.0
Дрель-шуруповерт аккумуляторная СТАВР ДА-18Л [ст18лда];211567;5200.0;18.0;38.0;12;30;1.3;2.0;Сверление/заворачивание;щеточный;;400;1450;400;1450;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 14,4/2-2L [кн14,4-2-2л];211416;4930.0;14.4;18.0;12;18;1.2;2.0;;щеточный;;400;1450;400;1450;
Дрель-шуруповерт аккумуляторная KOLNER KCD 14,4/2LС [кн14,4-2лц];211418;5240.0;14.4;18.0;12;18;1.2;2.0;;щеточный;;400;1450;400;1450;
Дрель-шуруповерт аккумуляторная KOLNER KCD 16L [кн16л];211424;3880.0;16.0;19.0;12;18;1.2;2.0;;щеточный;;400;1450;400;1450;
Отвертка аккумуляторная KOLNER KCSD 4,8М [кн4,8мцсд];211431;1250.0;4.8;2.5;;;0.3;0.6;;;;;;;;
Дрель-шуруповерт аккумуляторная OASIS ASB-18S [4640039483212];214031;4087.0;18.0;40.0;12;30;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная INGCO CIDLI1232 ударная;229874;5390.0;12.0;20.0;10;18;1.58;1.5;;щеточный;;350;1350;;;0.8
Аккумуляторный шуруповерт METABO BS 18 LT 2x2,0 Ач, с набором оснастки [602102600];96508;31480.0;18.0;60.0;10;20;1.3;2.0;Сверление;щеточный;;450;1650;450;1650;1.5
Аккумуляторный шуруповерт MAKITA DF332DZ без АКБ и З/У;106144;7999.0;10.8;35.0;10;21;1.0;;Заворачиваниешурупов;бесщеточный;профессиональный;450;1500;450;1500;1.5
Аккумуляторная дрель-шуруповерт PATRIOT BR 140Li [180301520];109807;6039.0;14.4;40.0;10;25;1.3;1.5;Сверление;щеточный;бытовой;400;1100;400;1100;0.8
Аккумуляторная дрель-шуруповерт PATRIOT BR 180Li-H ударная [180301460];123225;8990.0;18.0;44.0;10;25;1.3;1.5;Сверление;щеточный;бытовой;400;1100;400;1100;0.8
Аккумуляторная дрель-шуруповерт ВИХРЬ ДА-14,4Л-2 [72/14/15];129096;3590.0;14.4;40.0;10;25;1.25;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Аккумуляторный шуруповерт MAKITA DF 033 DZ без АКБ и ЗУ [DF033DZ];134931;4418.0;10.8;30.0;10;21;0.94;;Заворачиваниешурупов;щеточный;профессиональный;450;1700;450;1700;
Дрель-шуруповерт аккумуляторная METABO PowerMaxx SB 12 BL 2x2.0 Ач, ударная, бесщеточная [601077500];134770;17099.0;12.0;45.0;10;25;1.1;2.0;Сверление/сверлениесударом;бесщеточный;;500;1650;500;1650;1.5
Аккумуляторная дрель-шуруповерт PATRIOT BR 210 UES-h бесщеточная, ударная [180301555];145463;12402.0;21.0;60.0;;20;;2.0;Сверление/сверлениесударом;бесщеточный;бытовой;400;2100;400;2100;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li (063-4102) [063-4102];146554;3710.0;20.0;42.0;10;28;1.36;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 (063-4096) [063-4096];146555;2720.0;12.0;32.0;10;25;1.115;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 207UES [180301507];153877;7890.0;18.0;38.0;8;20;2.0;;Сверление;бесщеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная MAKITA DDF 083 RFE бесщеточная [DDF083RFE];167728;29990.0;18.0;40.0;13;36;1.1;3.0;Заворачиваниешурупов;бесщеточный;профессиональный;500;1700;500;1700;1.5
Дрель-шуруповерт аккумуляторная DEKO DKS4FU-Li + набор инструментов 31 предмет (063-4151) [063-4151];169052;1680.0;4.0;4.0;10;28;0.62;1.3;Заворачиваниешурупов;щеточный;бытовой;180;;180;;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li + 193 аксессуара (063-4179) [063-4179];176538;6335.0;20.0;42.0;10;20;3.8;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 Li-Ion (063-4114) [063-4114];176540;3080.0;12.0;32.0;10;25;1.1;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная STURM CD3614;181942;7650.0;14.4;28.0;10;20;1.04;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная MAKITA DF001GZ без АКБ и ЗУ;197247;25990.0;40.0;140.0;20;50;2.4;4.0;Сверление/заворачивание;бесщеточный;профессиональный;650;2600;650;2600;1.3
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-50Л2-18А [75/14/9];201917;5819.0;18.0;50.0;12;30;1.3;2.0;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO ZKCD80FU-Li SET 1 (063-4127) [063-4127];176544;1580.0;8.0;20.0;10;25;1.1;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 14,4/2L [кн14,4-2л];211417;3670.0;14.4;18.0;12;18;1.2;2.0;;щеточный;;400;1450;400;1450;
Дрель-шуруповерт аккумуляторная KOLNER KCD 14,4М [кн14,4м];211419;3150.0;14.4;15.0;8;15;1.4;1.2;;щеточный;;550;;550;;
Дрель-шуруповерт аккумуляторная ЗУБР DB-201 бесщеточная, без АКБ и ЗУ;215150;10610.0;20.0;70.0;13;45;1.4;;;;;;;;;
Дрель-шуруповерт аккумуляторная PATRIOT BR 115 Li [180201115];213574;4390.0;12.0;25.0;10;16;1.9;2.0;Сверление;щеточный;бытовой;350;1250;350;1250;0.8
Дрель-шуруповерт аккумуляторная PATRIOT BR 119 Li [180301119];213576;3990.0;12.0;25.0;6;16;1.7;2.0;Сверление;щеточный;бытовой;350;1250;350;1250;0.8
Аккумуляторная дрель-шуруповерт MAKITA HP 333 DWME ударная [HP333DWME];135082;18990.0;10.8;30.0;10;21;1.3;4.0;Сверление/сверлениесударом;щеточный;профессиональный;450;1700;450;1700;0.8
Аккумуляторный шуруповерт MAKITA HP 333 DZ ударная без АКБ и ЗУ [HP333DZ];135086;6299.0;10.8;30.0;10;21;1.3;;Сверление/сверлениесударом;щеточный;профессиональный;450;1700;450;1700;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li + оснастка 13 шт. (063-4172) [063-4172];169028;4675.0;20.0;42.0;10;28;2.2;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO DKS4FU-Li (063-4150) [063-4150];169051;1430.0;4.0;4.0;10;28;0.39;1.3;Заворачиваниешурупов;щеточный;бытовой;180;;180;;0.8
Дрель-шуруповерт аккумуляторная DEKO DKS4FU-Li в кейсе + набор инструментов 112 предметов (063-4153) [063-4153];169053;4040.0;4.0;4.0;10;28;2.73;1.3;Заворачиваниешурупов;щеточный;бытовой;180;;180;;0.8
Дрель-шуруповерт аккумуляторная STURM CD3212SC;168695;6590.0;12.0;26.0;10;20;1.14;2.0;Сверление;щеточный;бытовой;350;1300;350;1300;0.8
Дрель-шуруповерт аккумуляторная STURM CD3618T;189836;9590.0;18.0;30.0;10;20;2.9;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная MAKITA DF002GD201;205793;40999.0;40.0;65.0;13;38;2.5;4.0;Сверление/заворачивание;бесщеточный;профессиональный;600;2000;600;2000;1.5
Дрель-шуруповерт аккумуляторная DWT ABS-18 L-2 BMC [5.2.3];206511;7485.0;18.0;28.0;10;32;1.2;1.5;;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная DWT ASS-20 D-2 BMC ударный [5.2.53];206596;14332.0;20.0;170.0;10;32;1.44;2.0;;бесщеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 12L [кн12л];211413;2550.0;12.0;17.0;10;16;1.0;1.5;;щеточный;;550;;550;;
Дрель-шуруповерт аккумуляторная KOLNER KCD 18/2С [кн18-2ц];211426;5350.0;18.0;17.0;10;18;1.6;1.3;;щеточный;;400;1150;400;1150;
Дрель-шуруповерт аккумуляторная ЗУБР DL-201 без АКБ и ЗУ;215284;5570.0;20.0;50.0;10;35;0.9;;;;;;;;;
Аккумуляторная дрель-шуруповерт MAKITA DF 330 DWE [DF330DWE];54607;10303.0;10.8;24.0;10;21;1.0;1.3;Сверление;щеточный;профессиональный;350;1300;350;1300;1.3
Аккумуляторная дрель-шуруповерт MAKITA HP332DZ ударная, бесщеточная, без АКБ и ЗУ;104465;9353.0;10.8;35.0;10;21;1.1;;Сверление/сверлениесударом;бесщеточный;профессиональный;450;1500;450;1500;1.3
Отвертка аккумуляторная PATRIOT PS 148 [180201305];110420;1790.0;4.8;3.0;;;0.65;0.7;;щеточный;;;;;;
Дрель-шуруповерт аккумуляторная DeWALT DCD 777 S2T бесщеточная [DCD777S2T-QW];111868;24605.0;18.0;65.0;13;30;1.15;1.5;;бесщеточный;профессиональный;500;1750;500;1750;1.5
Аккумуляторная дрель-шуруповерт METABO BS 18 L 2x2.0 Ач [602321500];114135;19580.0;18.0;50.0;10;20;1.6;2.0;Сверление;щеточный;;450;1800;450;1800;1.5
Аккумуляторный шуруповерт DeWALT DCD 996 NT ударная, без АКБ и З/У [DCD996NT-XJ];123681;29322.0;18.0;95.0;15;55;2.13;;Сверление/сверлениесударом;бесщеточный;профессиональный;500;1500;500;1500;1.5
Аккумуляторная отвертка PATRIOT PS 136 Li [180201303];129250;2590.0;3.6;3.5;;;0.78;1.5;;щеточный;;;;;;
Аккумуляторный шуруповерт ELITECH ДА 18 СЛ2 (4,0А.ч.) [191618];140932;12990.0;18.0;45.0;13;32;1.9;4.0;Сверление;щеточный;бытовой;350;1250;350;1250;1.5
Аккумуляторная дрель-шуруповерт ИНТЕРСКОЛ ДА -18ЭР ( 2.0 А.ч. ) [536.0.2.02];146438;8760.0;18.0;38.0;10;25;1.3;2.0;Сверление/заворачивание;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li (063-4100) [063-4100];146550;2205.0;12.0;28.0;10;20;1.15;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Отвертка аккумуляторная PATRIOT PS 236 Li [180201323];146898;3090.0;3.6;3.5;;;1.11;1.5;;щеточный;;;;;;
Аккумуляторная дрель-шуруповерт PATRIOT BR 101ES [180201301];152206;3990.0;12.0;25.0;6;16;1.4;2.0;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная РЕСАНТА ДА-24-2ЛК-У [75/14/8];152226;11090.0;24.0;60.0;12;30;1.35;2.0;Сверление/сверлениесударом;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ЗУБР DL-16 A5;152740;8774.0;16.0;45.0;10;30;1.1;1.5;Сверление;щеточный;бытовой;400;1350;400;1350;0.8
Отвертка аккумуляторная ЗУБР ЗО-ЕМ-3.6 Ли ViX-Т;156562;2900.0;3.6;3.0;;;0.5;1.3;Заворачиваниешурупов;щеточный;бытовой;190;;190;;
Дрель-шуруповерт аккумуляторная MAKITA DF 333 DWYE4 [DF333DWYE4];167729;12648.0;12.0;30.0;10;21;1.1;1.5;Сверление;щеточный;профессиональный;450;1700;450;1700;1.5
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li + набор 193 аксессуара (063-4139) [063-4139];169023;4435.0;12.0;28.0;10;20;3.41;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCDU12DU3 + набор 193 аксессуара (063-4138) [063-4138];169024;5156.0;12.0;32.0;10;25;3.46;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD12FU-Li + набор инструментов 104 шт (063-4117) [063-4117];169033;5990.0;12.0;28.0;10;20;2.87;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 SET2 + оснастка 13 шт. (063-4146) [063-4146];169035;3010.0;12.0;32.0;10;25;1.164;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная DEKO GCD12DU3 SET5 + набор инструментов 92 шт. (063-4147) [063-4147];169036;5110.0;12.0;32.0;10;25;2.52;1.5;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная ZITREK Green 12 PRO [063-4073];169042;2660.0;12.0;32.0;10;25;1.98;1.5;Сверление;щеточный;бытовой;600;1400;600;1400;0.8
Дрель-шуруповерт аккумуляторная ZITREK Greenpower 12-Li [063-4074];169044;3090.0;12.0;32.0;10;25;1.3;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ZITREK Greenpower 16-Li [063-4075];169045;3410.0;16.0;32.0;10;25;1.6;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная ZITREK Greenpower 20-Li [063-4076];169046;3740.0;20.0;42.0;10;28;1.6;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DEKO DKS4FU-Li в кейсе + набор инструментов 36 предметов (063-4152) [063-4152];169054;3020.0;4.0;4.0;10;28;1.62;1.3;Заворачиваниешурупов;щеточный;бытовой;180;;180;;0.8
Дрель-шуруповерт аккумуляторная ПУЛЬСАР ДА 14,4-2 [792-698];172059;5590.0;14.4;35.0;10;24;2.2;1.5;Сверление;щеточный;бытовой;350;1300;350;1300;0.8
Дрель-шуруповерт аккумуляторная DEKO DKCD20FU-Li + 104 предмета (063-4178) [063-4178];176543;5922.0;20.0;42.0;10;28;3.71;1.5;Сверление;щеточный;бытовой;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная STURM CD3614T;181944;7425.0;14.4;28.0;10;20;1.06;2.0;Сверление;щеточный;бытовой;400;1500;400;1500;0.8
Шуруповерт аккумуляторный MAKITA DFT 085 FMZ без АКБ и ЗУ [DFT085FMZ];185788;42829.68;14.4;8.0;;;1.3;1.5;Заворачиваниешурупов;щеточный;профессиональный;150;900;150;900;
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1865BLC [HCD1865BLС];206792;18990.0;18.0;65.0;14;35;3.0;2.4;2;бесщеточный;полупрофессиональный;450;2000;450;2000;13.0
Дрель-шуруповерт аккумуляторная HANSKONNER HCD1865BLI ударная;206793;19990.0;18.0;65.0;14;35;3.2;2.4;3;бесщеточный;полупрофессиональный;450;2000;450;2000;13.0
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-12Л [50031];210744;2430.0;10.8;28.0;10;20;0.92;1.3;Сверление;щеточный;;600;;600;;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-12Л2 [50033];210745;4010.0;12.0;30.0;10;20;1.06;1.5;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-12ЛБ [50032];210746;3680.0;12.0;28.0;10;20;1.0;1.5;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-2 12ЭР/10Л [50021];210748;4580.0;12.0;28.0;10;20;1.0;1.5;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-2 12ЭР/10Л (2 акк. 2,0 а*ч) [50022];210749;4690.0;12.0;28.0;10;20;1.0;2.0;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-2 14,4ЭР/10Л (2 акк. 2,0 а*ч) [50025];210751;5700.0;14.4;32.0;10;25;1.15;2.0;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-2 18ЭР/10ЛМ (2 акк. 2,0 а*ч) [50027];210753;6620.0;18.0;34.0;10;20;2.0;2.0;Сверление;щеточный;;350;1350;350;1350;0.8
Дрель-шуруповерт аккумуляторная ЭНКОР ДША-20Л2 [50035];210754;5810.0;18.0;32.0;10;20;1.17;1.5;Сверление;щеточный;;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная СТАВР ДА-14,4/2 [ст14,4-2да];211561;7090.0;14.4;34.0;10;28;1.3;2.0;Сверление/заворачивание;щеточный;;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная СТАВР ДА-14,4/2УК [ст14,4-2ук];211562;8040.0;14.4;34.0;10;28;1.3;2.0;Сверление/заворачивание/сверлениесударом;щеточный;;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная СТАВР ДА-14,4Л [ст14,4лда];211563;4730.0;14.4;32.0;10;26;1.2;2.0;Сверление/заворачивание;щеточный;;400;1450;400;1450;0.8
Дрель-шуруповерт аккумуляторная СТАВР ДА-14,4ЛК [ст14,4лкда];211564;6830.0;14.4;32.0;10;26;1.2;2.0;Сверление/заворачивание;щеточный;;400;1450;400;1450;0.8
Дрель-шуруповерт аккумуляторная СТАВР ДА-18/2 [ст18-2да];211565;7560.0;18.0;40.0;12;32;1.3;2.0;Сверление/заворачивание;щеточный;;400;1500;400;1500;0.8
Дрель-шуруповерт аккумуляторная ZITREK Crusher 12-Li [063-4078];213487;2330.0;12.0;32.0;10;25;1.6;1.5;Сверление;щеточный;бытовой;400;1400;400;1400;0.8
Дрель-шуруповерт аккумуляторная DWT ABS-12 L-2 BMC [5.2.1];206509;5504.0;12.0;25.0;10;20;1.06;1.5;;щеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная DWT ASS-20 D ударный [5.2.55];206598;6344.0;20.0;170.0;;;104.0;;;бесщеточный;;;;;;0.8
Дрель-шуруповерт аккумуляторная KOLNER KCD 12LM [кн12лм];211414;2550.0;12.0;17.0;10;16;1.0;1.5;;щеточный;;650;;650;;
Дрель-шуруповерт аккумуляторная KOLNER KCD 20-2LC [кн20-2лц];211428;6610.0;20.0;21.0;14;20;1.3;2.0;;щеточный;;400;1450;400;1450;
Отвертка аккумуляторная KOLNER KCSD 3,6L [кн3,6лцсд];211430;1260.0;3.6;3.0;;;0.3;1.3;;;;;;;;
Дрель-шуруповерт аккумуляторная OASIS ASU-12S [4640039483243];214021;4183.0;12.0;30.0;10;21;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASU-14S [4640039483250];214022;4000.0;14.0;35.0;10;25;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASU-18S [4640039483267];214023;4400.0;18.0;40.0;12;30;;2.0;;синхронный;;350;1350;350;1350;
Дрель-шуруповерт аккумуляторная OASIS ASB-14A [4640039483304];214024;5571.0;14.0;40.0;16;25;;2.0;;Асинхронный;;400;1400;400;1400;
Дрель-шуруповерт аккумуляторная OASIS ASB-18A [4640039483311];214025;7623.0;18.0;45.0;16;30;;2.0;;Асинхронный;;400;1400;400;1400;
Дрель-шуруповерт аккумуляторная OASIS ASU-18A [4640039483366];214028;7810.0;18.0;50.0;16;30;;2.0;;Асинхронный;;400;1400;400;1400;
Дрель-шуруповерт аккумуляторная OASIS ASB-12S [4640039483199];214029;3256.0;12.0;30.0;10;21;;2.0;;синхронный;;350;1300;350;1300;
Дрель-шуруповерт аккумуляторная OASIS ASB-14S [4640039483205];214030;3660.0;14.0;35.0;10;25;;2.0;;синхронный;;350;1350;350;1350;
